global_index	path_index	uncertainty	
1	0	0	
2	1	0.174614	
3	2	0.267457	
4	3	0.0493576	
5	4	0.285314	
6	5	0.179316	
7	6	0.174531	
8	7	0.156002	
9	8	0.108676	
10	9	0.213445	
11	10	0.0224631	
12	11	0.166293	
13	12	0.26076	
14	13	0.232474	
15	14	0.209279	
16	15	0.140815	
17	16	0.27885	
18	17	0.105841	
19	18	0.101605	
20	19	0.0470156	
21	20	0.0741184	
