MS	x	y	z	vx	vy	vz	ax	ay	az	
5090	0.0146109	0.0388127	0.666227	-0.00275472	-0.0134353	1.16618e-10	-0.270222	0.679476	0.228662	
5210	0.00598676	0.0358311	0.669662	0.00041908	-0.00373442	6.61817e-11	-0.271146	0.679802	0.169697	
5300	0.0218766	0.0249678	0.671373	-0.00127516	-0.000967661	6.94731e-11	-0.276729	0.680197	0.144736	
5360	0.0319342	0.0295754	0.669134	-0.0011828	-0.000897581	3.81957e-11	-0.328708	0.678842	0.159149	
5601	0.0159452	0.0368765	0.664901	0.00214957	0.00162995	2.87529e-11	-0.292977	0.678535	0.159738	
5661	0.0133544	0.0353244	0.664403	-0.000774587	0.00016837	5.19565e-11	-0.276412	0.679842	0.157444	
6170	0.0181143	0.0381226	0.665546	-0.0016284	-0.0106872	9.95709e-11	-0.212392	0.68119	0.237074	
6290	0.0145587	0.0356055	0.666476	0.00370293	-0.00296139	5.23943e-11	-0.261898	0.68038	0.158771	
6321	0.0145587	0.0356055	0.666476	0.00417128	-0.000963799	3.66191e-11	-0.291931	0.679464	0.174377	
6381	0.01674	0.038837	0.666793	0.00394751	-0.000912094	5.83352e-11	-0.278512	0.680064	0.162042	
6440	0.0125531	0.0363429	0.667934	0.00375452	-0.000867503	5.28923e-11	-0.268646	0.678576	0.16028	
6500	0.0137438	0.0395184	0.666037	0.00353534	-0.000816865	4.31281e-11	-0.273076	0.680494	0.159734	
7041	0.0148756	0.0357209	0.665766	0.00340243	0.00118746	9.19198e-11	-0.277128	0.679976	0.218857	
7070	0.0148756	0.0357209	0.665766	0.00333489	0.00116388	4.42902e-11	-0.277777	0.679373	0.147634	
7160	0.0215097	0.0364936	0.666555	0.00459947	0.00196136	6.30359e-11	-0.225934	0.680804	0.233466	
7610	0.0320801	0.02933	0.668783	-0.00368141	0.000909495	7.66744e-11	-0.277733	0.679034	0.159738	
7850	0.025256	0.0242715	0.673033	-0.00145616	-0.0060769	4.28292e-11	-0.277031	0.680805	0.23794	
8120	0.0192109	0.0239743	0.671706	0.00270364	6.51332e-06	1.44374e-10	-0.191272	0.681183	0.240623	
8240	0.0319889	0.0246468	0.671972	0.00104065	0.00175297	1.34903e-10	-0.276388	0.680003	0.236671	
8270	0.0319889	0.0246468	0.671972	0.000979903	0.00165064	4.97059e-11	-0.277197	0.681091	0.236695	
8480	0.0124623	0.0386394	0.665668	0.000478892	0.000771846	6.08215e-11	-0.235758	0.681357	0.202738	
8600	0.000863749	0.0377661	0.670788	0.00264992	0.00220602	3.00143e-11	-0.276813	0.67986	0.166746	
8840	0.0112521	0.0374612	0.665312	0.000184593	0.000483113	9.52227e-11	-0.277738	0.679811	0.167057	
8900	0.0183853	0.0381696	0.665641	0.000494179	0.00117892	8.21566e-11	-0.27667	0.679981	0.195611	
9051	0.0221662	0.0378026	0.664907	0.000191662	0.000205781	1.07618e-10	-0.263114	0.680642	0.179363	
9470	0.0125488	0.0402489	0.666091	0.00320658	-0.00485658	2.18953e-11	-0.277251	0.680472	0.243281	
9890	0.024881	0.0247615	0.671475	0.000604099	-0.000315724	1.56848e-10	-0.277354	0.680117	0.227316	
9980	0.0219859	0.0248761	0.671363	0.00474276	0.0016747	5.32108e-11	-0.28964	0.680732	0.221712	
10070	0.020761	0.0255042	0.670796	0.00148555	0.00128946	6.42292e-11	-0.274505	0.679237	0.178414	
10340	0.0273086	0.0272787	0.667171	0.00129406	1.50916e-05	4.95732e-11	-0.19538	0.680625	0.236063	
10400	0.0107746	0.0446367	0.675364	-0.00199555	-0.00125364	7.80666e-11	-0.271713	0.680734	0.236565	
10430	0.0107746	0.0446367	0.675364	-5.23779e-05	-0.00145126	1.20746e-10	-0.278022	0.679658	0.236757	
11060	0.0184262	0.0413961	0.667612	0.00511458	0.000644456	1.23719e-10	-0.288694	0.679227	0.242587	
11090	0.0184262	0.0413961	0.667612	0.00491354	0.000619134	4.17481e-11	-0.276766	0.679328	0.154623	
11210	0.00893535	0.0315883	0.670365	0.00178252	0.000363113	1.92307e-11	-0.276249	0.662129	0.160256	
11301	0.0171478	0.0355521	0.666687	0.00159641	0.000325203	3.83314e-11	-0.283868	0.679221	0.159714	
11720	0.0278196	0.0243912	0.668245	-0.00179105	-0.00344839	8.07517e-11	-0.235207	0.681645	0.29908	
11960	0.0248062	0.0235356	0.668166	0.00165391	0.00176677	2.21352e-11	-0.277789	0.679731	0.18446	
12260	0.0178885	0.037987	0.668146	0.000102586	0.000372409	1.01219e-10	-0.27599	0.689219	0.240996	
12291	0.0178885	0.037987	0.668146	-0.00145429	-0.00951952	7.82657e-11	-0.277713	0.68509	0.237169	
12950	0.0233701	0.0247248	0.669336	-0.00160629	-0.000980438	5.23848e-11	-0.277833	0.678787	0.174616	
13010	0.0103828	0.0463805	0.669973	0.00273078	0.00142448	7.80149e-11	-0.277964	0.679855	0.162531	
13251	0.0164849	0.020637	0.666935	0.00215762	0.00112548	9.40969e-12	-0.277268	0.681184	0.313656	
13340	0.0124176	0.0385228	0.666442	0.00292483	0.000397688	1.41111e-10	-0.277225	0.680743	0.31358	
13760	0.0334122	0.0275213	0.666889	-0.0013226	0.00108197	7.73595e-11	-0.278273	0.678613	0.161166	
13820	0.0298825	0.0278419	0.667698	0.0034294	0.00276288	9.58862e-12	-0.277787	0.679561	0.15981	
13911	0.0239768	0.0237226	0.666149	0.00312195	0.00209608	3.33529e-11	-0.276776	0.679301	0.158823	
14030	0.035502	0.024428	0.669176	0.001055	0.0016076	7.83954e-11	-0.277228	0.648312	0.237562	
14781	0.0120963	0.0365996	0.666214	-0.00274714	-4.0567e-05	2.39608e-11	-0.277117	0.679627	0.159738	
14900	0.00820268	0.0376131	0.669056	0.00152238	0.000612426	5.77722e-11	-0.274446	0.680897	0.192574	
15290	0.0264504	0.0259642	0.67226	0.00450871	-0.00265082	7.08826e-11	-0.294922	0.678319	0.147672	
15350	0.0247237	0.0225378	0.672077	0.00258902	-0.00193893	2.90296e-11	-0.199305	0.680937	0.161276	
15681	0.0270618	0.024548	0.668372	-0.00159367	-0.00369728	9.35552e-12	-0.201963	0.681552	0.311851	
16131	0.0181843	0.0229772	0.671232	0.00369172	0.00114487	4.3813e-11	-0.276104	0.680008	0.243406	
16310	0.0194435	0.0203046	0.670241	0.00358905	0.00238966	8.47032e-11	-0.277727	0.679621	0.235287	
16341	0.0194435	0.0203046	0.670241	0.00348272	0.00231887	7.81789e-11	-0.276625	0.680776	0.236906	
16370	0.0194435	0.0203046	0.670241	0.00339652	0.00226147	1.66109e-10	-0.259176	0.682258	0.325703	
16430	0.024722	0.0202609	0.667956	0.00018631	0.000172502	6.25333e-11	-0.274611	0.680751	0.297778	
16551	0.0291764	0.0256903	0.667812	-0.000101588	-1.71167e-05	4.75205e-11	-0.278174	0.680171	0.158402	
16610	0.0343529	0.023411	0.667511	0.00206256	0.000811139	1.3985e-11	-0.276052	0.677799	0.233083	
16730	0.0299448	0.0256097	0.67006	0.00107304	0.00178427	4.84474e-11	-0.276849	0.679627	0.161491	
16850	0.0200677	0.0258383	0.667811	0.000819731	0.00128379	4.76024e-11	-0.283961	0.679665	0.158675	
17150	0.0234154	0.0262757	0.6686	-0.00300992	-0.00360145	4.35768e-11	-0.278714	0.679963	0.161395	
17210	0.0124562	0.0341989	0.664843	-0.0015579	-0.00129271	1.63803e-11	-0.277499	0.678958	0.0780013	
17270	0.0167664	0.0351412	0.665971	-0.00145963	-0.00121116	4.3375e-11	-0.27779	0.679368	0.160648	
17540	0.0184569	0.0227784	0.671536	-0.0018589	0.00064195	3.84614e-11	-0.279956	0.679688	0.160256	
17600	0.0203008	0.0222094	0.671361	-0.00175039	0.000604474	3.27986e-11	-0.277436	0.678562	0.0780919	
17930	0.0205108	0.0381789	0.66657	0.0023585	0.00280943	2.87426e-11	-0.277345	0.680089	0.159681	
18020	0.0258081	0.0377816	0.66713	0.00524898	0.00421713	3.82383e-11	-0.341832	0.68151	0.159326	
18050	0.0258081	0.0377816	0.66713	0.00522274	0.00419605	1.24364e-10	-0.342408	0.676532	0.159441	
18231	0.025531	0.0279304	0.668823	0.00167098	-0.00094575	1.09373e-10	-0.240374	0.68159	0.280442	
18320	0.0320493	0.0290969	0.668041	0.00346378	0.00232543	1.05022e-10	-0.277634	0.680686	0.291728	
18350	0.0320493	0.0290969	0.668041	0.00243348	0.00235733	6.90815e-11	-0.277355	0.679862	0.230272	
18500	0.00301463	0.0349053	0.668559	0.00215058	0.0024461	9.5409e-12	-0.295041	0.679883	0.159015	
18560	0.0114486	0.0376893	0.664569	0.00420471	0.00255862	2.57672e-11	-0.275513	0.678547	0.0780825	
18621	0.00952606	0.0336282	0.665622	0.00299533	0.000779087	3.72387e-11	-0.277734	0.678844	0.0827527	
18650	0.00952606	0.0336282	0.665622	0.00289205	0.000752238	1.34664e-11	-0.345388	0.678429	0.149627	
18680	0.00952606	0.0336282	0.665622	0.00282047	0.000733628	1.0074e-11	-0.284675	0.678364	0.0839502	
18830	0.0400873	0.0259415	0.670079	0.00166189	0.00259699	4.8242e-12	-0.265672	0.623289	0.160807	
18891	0.0300876	0.0265308	0.667416	0.00160459	0.00250745	8.13932e-11	-0.311966	0.676913	0.159594	
19040	0.0128299	0.0392865	0.659862	-0.00485435	0.000223399	2.65474e-11	-0.266284	0.649836	0.147485	
19310	0.0340672	0.025906	0.668338	0.00197482	0.0032122	2.95746e-11	-0.277866	0.679237	0.164303	
19460	0.0354425	0.0259653	0.668537	-0.000417526	0.00197722	1.07503e-11	-0.277169	0.680332	0.179172	
19670	0.0321511	0.0269877	0.667848	0.0012493	0.00145115	4.79157e-11	-0.276419	0.679479	0.159719	
19760	0.0340538	0.0264321	0.668258	-0.000346286	0.000837307	3.83326e-11	-0.283501	0.678738	0.159719	
20090	0.0147186	0.0372625	0.66547	-0.0017506	-0.0019138	5.69022e-11	-0.276713	0.680524	0.237092	
20180	0.0161036	0.039737	0.667334	-0.00347956	-0.000661595	7.75987e-11	-0.277554	0.679857	0.235148	
