global_index	path_index	uncertainty	
1	0	0	
2	1	0.1609	
3	2	0.275286	
4	3	0.197939	
5	4	0.261706	
6	5	0.272685	
7	6	0.259429	
8	7	0.0753389	
9	8	0.239004	
10	9	0.0180401	
11	10	0.140613	
12	11	0.10478	
13	12	0.173068	
14	13	0.0941559	
15	14	0.29429	
16	15	0.0288342	
17	16	0.136109	
18	17	0.150901	
19	18	0.0905734	
20	19	0.185376	
21	20	0.200276	
