MS	x	y	z	vx	vy	vz	ax	ay	az	
8744	0.561743	-0.910761	1.13	0	0	0	18516.2	-3323.33	-86179.3	
8775	0.562096	-0.910205	1.13001	7.7768e-06	-1.3958e-06	-3.61953e-05	27053	42697.3	579.019	
8805	0.562096	-0.910205	1.13001	4.34868e-05	5.49646e-05	-3.5431e-05	27053	42697.3	579.019	
8834	0.558104	-0.91499	1.13159	4.75448e-05	6.13692e-05	-3.53442e-05	-311154	-373036	123532	
8865	0.557205	-0.916803	1.13238	-0.000101809	-0.000117688	2.39514e-05	-70389.2	-141931	61411.9	
8894	0.557256	-0.916357	1.13261	-0.000158824	-0.000232652	7.3695e-05	3998.03	35037.7	18657.5	
8924	0.55498	-0.920223	1.13214	-0.000158105	-0.000226345	7.70533e-05	-181054	-307430	-37819.5	
8955	0.558309	-0.913779	1.13275	-0.000255874	-0.000392357	5.66308e-05	265936	514675	48647.6	
9015	0.559173	-0.912676	1.13228	-0.0271717	0.00129868	5.45527e-10	69577	88884.1	-37803.7	
9044	0.559463	-0.912059	1.1324	-0.0271571	0.00131735	-7.93824e-06	49905.9	106703	9210.7	
9075	0.55807	-0.915567	1.13191	-0.0271301	0.00137497	-2.96446e-06	-114319	-287836	-40527.9	
9104	0.562443	-0.909725	1.13213	-0.0271439	0.00134043	-7.82781e-06	362192	483776	18339.8	
9135	0.564029	-0.90632	1.13207	-0.02697	0.00157264	9.75302e-07	131819	283186	-4615.73	
9164	0.563578	-0.907113	1.13227	-0.0269067	0.00170857	-1.24025e-06	-37679.4	-66325.7	16585.3	
9194	0.563158	-0.908028	1.13246	-0.0269192	0.00168668	4.23291e-06	-35423.7	-77216.7	16052.8	
9225	0.563158	-0.908028	1.13246	-0.0269627	0.00159171	2.39778e-05	-35423.7	-77216.7	16052.8	
9255	0.565495	-0.90294	1.13292	-0.0269798	0.00155464	3.16832e-05	199430	434363	39056.8	
9285	0.564793	-0.903948	1.13296	-0.0268122	0.00191951	6.44909e-05	-60138.5	-86391	3351.89	
9314	0.564793	-0.903948	1.13296	-0.0269151	0.00177178	7.02226e-05	-60138.5	-86391	3351.89	
9345	0.565062	-0.897385	1.13878	-0.0269403	0.00173549	7.16304e-05	23434.4	571403	506613	
9374	0.562363	-0.903575	1.13865	-0.026927	0.00206119	0.0003604	-236236	-541752	-11247.8	
9405	0.562547	-0.906163	1.13399	-0.0270049	0.00188241	0.000356688	161254	309967	-13174.5	
9465	0.56195	-0.907885	1.13411	-0.0287241	0.000389582	1.5173e-10	-94128.5	-220323	64189.3	
9495	0.561385	-0.909376	1.13374	-0.0287721	0.000277218	3.27367e-05	-50783.5	-133894	-33540.5	
9525	0.561445	-0.908812	1.13367	-0.0287798	0.000257134	2.77056e-05	5444.2	51074.2	-6296.7	
9555	0.559846	-0.912109	1.1337	-0.0287771	0.000281649	2.46832e-05	-145462	-300026	2915.17	
9585	0.559846	-0.912109	1.1337	-0.0289779	-0.000132386	2.87062e-05	-145462	-300026	2915.17	
9615	0.560084	-0.91313	1.13374	-0.0291044	-0.000393408	3.12424e-05	21886.9	-93776.7	3508.07	
9645	0.560934	-0.912013	1.13366	-0.0290906	-0.000452487	3.34524e-05	78656.5	103469	-6900.83	
9675	0.560855	-0.910824	1.1339	-0.0290529	-0.000402822	3.014e-05	-7346.46	110931	22321.8	
9705	0.56058	-0.911057	1.13392	-0.029056	-0.000356231	3.95152e-05	-25815.5	-21883.9	2055.44	
9734	0.558206	-0.91594	1.13231	-0.0290629	-0.00036214	4.00702e-05	-224513	-461832	-152846	
9795	0.556096	-0.915936	1.13255	-0.0257583	0.00153861	4.50727e-10	-201067	381.633	23625.8	
9824	0.559931	-0.915538	1.12972	-0.0258126	0.00153871	6.37941e-06	369446	38372.5	-273506	
9855	0.572211	-0.896403	1.13581	-0.0255909	0.00156173	-0.000157724	1.18775e+06	1.85083e+06	589746	
9884	0.567666	-0.90283	1.12831	-0.0252702	0.00206146	1.50707e-06	199855	269041	87249.3	
9914	0.558564	-0.916353	1.12903	-0.0252223	0.00212603	2.24469e-05	-893169	-1.32705e+06	70744.7	
