MS	x	y	z	vx	vy	vz	ax	ay	az	
5325	0.103386	0.00566806	0.00645068	-1.63299e-10	-6.63498e-11	7.52718e-11	-0.276457	0.680414	0.313632	
5414	0.103319	0.00568219	0.0064218	-6.11908e-11	-3.18216e-11	2.54071e-11	-0.353573	0.679898	0.282301	
5594	0.103306	0.00561827	0.00652598	-3.59771e-10	-1.60767e-10	1.79237e-10	-0.282047	0.631177	0.314452	
5715	0.103317	0.00558975	0.00648804	-1.7801e-11	-8.25799e-12	1.17757e-11	-0.275266	0.593368	0.392525	
5775	0.10328	0.00566519	0.00650116	-1.21891e-10	-4.97633e-11	5.82033e-11	-0.276463	0.677172	0.323352	
6375	0.103395	0.00574378	0.00647838	-6.14298e-11	-2.90693e-11	2.81985e-11	-0.322992	0.682554	0.313317	
6435	0.103303	0.00565594	0.00644943	-1.401e-10	-5.85494e-11	6.59141e-11	-0.278806	0.667143	0.313877	
6825	0.103431	0.00570917	0.00649961	-1.38811e-10	-6.3763e-11	6.58066e-11	-0.303633	0.661003	0.313365	
7215	0.103339	0.0057349	0.00647298	-1.25765e-10	-5.82501e-11	6.61164e-11	-0.277382	0.598881	0.31484	
7575	0.103295	0.00570537	0.00642753	-1.43134e-10	-5.87425e-11	8.22289e-11	-0.279726	0.681592	0.391566	
7604	0.103295	0.00570537	0.00642753	-1.2285e-10	-4.98612e-11	7.03233e-11	-0.277007	0.6825	0.390685	
7995	0.103347	0.00573454	0.00647203	-5.50178e-11	-3.13303e-11	2.53355e-11	-0.348115	0.611309	0.281506	
8084	0.103289	0.0057576	0.00654605	-9.04315e-11	-5.32065e-11	3.89323e-11	-0.35471	0.602876	0.259549	
8264	0.10327	0.00573318	0.00639378	-9.70933e-11	-4.89488e-11	4.7264e-11	-0.326326	0.647289	0.315094	
8715	0.103397	0.00570947	0.00648002	-7.20938e-11	-4.20898e-11	2.77631e-11	-0.350749	0.600782	0.231359	
8745	0.103397	0.00570947	0.00648002	-1.80578e-10	-1.04832e-10	7.23607e-11	-0.349439	0.601926	0.241202	
8865	0.103406	0.00576473	0.00651869	-7.89791e-11	-4.21979e-11	3.75129e-11	-0.351649	0.658159	0.312607	
9254	0.103304	0.00567293	0.00643971	-3.62211e-11	-1.65753e-11	1.91729e-11	-0.276255	0.603685	0.319549	
9314	0.103543	0.00566663	0.00654242	-5.58796e-11	-3.08869e-11	2.5279e-11	-0.343188	0.620884	0.280878	
9915	0.103437	0.00573048	0.00653246	-2.22963e-05	-1.62176e-05	-5.05017e-06	-1241.47	4596.57	1036.02	
10695	0.103304	0.00568184	0.00645745	-1.08517e-10	-6.29483e-11	5.87827e-11	-0.349713	0.602871	0.326571	
11294	0.103313	0.0056772	0.00647942	-8.05292e-11	-4.1632e-11	3.77037e-11	-0.346933	0.671077	0.314198	
11654	0.103201	0.00577309	0.00647128	-2.16372e-10	-1.26868e-10	1.01054e-10	-0.352411	0.601034	0.280706	
