MS	x	y	z	vx	vy	vz	ax	ay	az	
22485	1.5389	-0.271178	-0.493985	-2.0422e-11	-8.28723e-12	9.60822e-12	-0.276241	0.680733	0.320274	
36015	1.69347	-0.365325	-0.639574	-8.1534e-11	-3.32408e-11	1.97921e-11	-0.277007	0.67945	0.164934	
39736	1.72478	-0.392888	-0.690239	-1.83836e-10	-6.58505e-11	8.52957e-11	-0.243891	0.680873	0.31591	
56145	1.63759	-0.380496	-0.65772	-1.01972e-10	-4.15161e-11	2.54399e-11	-0.276774	0.679812	0.169599	
71595	1.62952	-0.389183	-0.661829	-1.69541e-10	-7.4654e-11	6.4151e-11	-0.276496	0.627928	0.237596	
99376	2.30417	0.200761	0.0218257	-2.03468e-10	-1.27784e-10	1.31647e-10	-0.327652	0.521713	0.337556	
108076	1.21783	0.543532	-0.0289974	-2.78447e-11	-1.64206e-11	1.81986e-12	-0.273677	0.464078	0.0303311	
136516	1.06316	1.2399	-0.195697	-1.97073e-11	-1.80771e-11	1.43175e-12	-0.301285	0.328455	0.0238625	
139695	1.02921	1.10537	-0.201476	-6.99537e-11	-3.92991e-11	-1.0734e-11	-0.261994	0.466358	-0.0715603	
144856	1.17637	1.46709	-0.262907	-2.78698e-11	-3.21886e-11	1.13843e-11	-0.268239	0.232248	0.0948693	
152145	1.18798	1.86365	-0.301742	-1.56982e-11	-1.1615e-11	-1.15721e-12	-0.387165	0.523273	-0.0385735	
153165	1.18719	2.04324	-0.32772	-4.79695e-11	-1.45182e-12	2.61337e-11	-0.0120985	0.399746	0.21778	
155115	1.27058	1.95273	-0.300037	-2.29449e-10	-2.23832e-10	-1.93409e-10	-0.324394	0.332534	-0.280303	
