global_index	path_index	uncertainty	
1	0	0	
2	1	0.161781	
3	2	0.239523	
4	3	0.0934858	
5	4	0.0712858	
6	5	0.125294	
7	6	0.219877	
8	7	0.256485	
9	8	0.00807971	
10	9	0.251017	
11	10	0.21349	
12	11	0.262564	
13	12	0.193371	
14	13	0.198898	
15	14	0.251367	
16	15	0.1023	
17	16	0.254054	
18	17	0.187614	
19	18	0.00865383	
20	19	0.117961	
21	20	0.287759	
