xErr	yErr	zErr	oErr	inX	inY	inZ	inO	MS	v_time	flag	
0	0	0	0	0	0	0	0	93784	93771	0	
0	0	0	0	0	0	0	0	93815	93794	0	
0	0	0	0	0	0	0	0	93845	93820	0	
0	0	0	0	0	0	0	0	93875	93850	0	
0	0	0	0	0	0	0	0	93904	93880	0	
0	0	0	0	0	0	0	0	93935	93906	0	
0	0	0	0	0	0	0	0	93994	93993	0	
0	0	0	0	0	0	0	0	94024	94014	0	
0	0	0	0	0	0	0	0	94054	94046	0	
0	0	0	0	0	0	0	0	94115	94104	0	
0	0	0	0	0	0	0	0	94145	94104	0	
0	0	0	0	0	0	0	0	94174	94162	0	
0	0	0	0	0	0	0	0	94204	94183	0	
0	0	0	0	0	0	0	0	94235	94212	0	
0	0	0	0	0	0	0	0	94295	94292	0	
0	0	0	0	0	0	0	0	94324	94310	0	
0	0	0	0	0	0	0	0	94355	94344	0	
0	0	0	0	0	0	0	0	94414	94406	0	
0	0	0	0	0	0	0	0	94445	94438	0	
0	0	0	0	0	0	0	0	94475	94463	0	
0	0	0	0	0	0	0	0	94505	94463	0	
0	0	0	0	0	0	0	0	94535	94516	0	
0	0	0	0	0	0	0	0	94595	94581	0	
0	0	0	0	0	0	0	0	94625	94616	0	
0	0	0	0	0	0	0	0	94655	94639	0	
0	0	0	0	0	0	0	0	94714	94707	0	
0	0	0	0	0	0	0	0	94745	94707	0	
0	0	0	0	0	0	0	0	94775	94770	0	
0	0	0	0	0	0	0	0	94805	94791	0	
0	0	0	0	0	0	0	0	94834	94832	0	
3.12838	-0.507227	0.646309	-0.00539344	0	0	0	0	94864	94852	0	
3.12838	-0.507227	0.646309	-0.00539344	0.1	-0.0341319	0.00851033	0	95895	95876	0	
2.5389	-0.554186	1.08012	-0.00856335	0.0544364	0	0.01	0	95925	95907	0	
2.5389	-0.554186	1.08012	-0.00856335	0.0544364	0	0.01	0	95956	95955	0	
2.5389	-0.554186	1.08012	-0.00856335	0.0544364	0	0.01	0	95985	95976	0	
2.5389	-0.554186	1.08012	-0.00856335	0.0544364	0	0.01	0	96016	95995	0	
2.5389	-0.554186	1.08012	-0.00856335	0.0544364	0	0.01	0	96045	96042	0	
2.5389	-0.554186	1.08012	-0.00856335	0.0544364	0	0.01	0	96076	96073	0	
2.5515	-0.59199	1.13806	-0.00804795	0.0525352	0	0.01	0	96106	96102	0	
