MS	x	y	z	vx	vy	vz	ax	ay	az	
6279	0.522825	-0.823518	1.08184	0	0	0	-117337	-43459.8	-67410.4	
6309	0.522825	-0.823518	1.08184	-0.000154884	-5.73669e-05	-8.89817e-05	-117337	-43459.8	-67410.4	
6370	0.525689	-0.821032	1.07984	0.00187104	-0.000237494	4.31021e-10	101815	26564.1	34738	
6489	0.52364	-0.82314	1.07932	0.00188132	0.000845991	3.59567e-10	-171520	-157123	15813.2	
6520	0.525987	-0.822954	1.07818	0.00173725	0.000714007	1.32835e-05	98951.3	7846.39	-48059.6	
6579	0.52596	-0.82297	1.07847	1.3416e-05	0.00154019	6.51376e-10	-1179.46	-679.083	12171.9	
6609	0.52596	-0.82297	1.07847	1.06207e-05	0.00153858	2.8848e-05	-1179.46	-679.083	12171.9	
6639	0.524006	-0.819534	1.07722	9.98377e-06	0.00153822	3.54208e-05	-85646.9	150611	-54642.8	
6729	0.521713	-0.822964	1.07942	-0.000135858	0.000318659	5.89452e-10	-107664	-67232.3	165982	
6760	0.521713	-0.822964	1.07942	-0.000394251	0.000157301	0.000398358	-107664	-67232.3	165982	
6789	0.521581	-0.822173	1.08211	-0.00045885	0.000116962	0.000497947	-6023.24	36267.4	122953	
6820	0.521581	-0.822173	1.08211	-0.000468065	0.000172451	0.000686064	-6023.24	36267.4	122953	
6940	0.524225	-0.82099	1.08198	0.00178601	-0.000640506	3.72973e-10	-72467	-65764.4	44501.8	
6969	0.521692	-0.823672	1.08138	0.00176427	-0.000660236	1.33509e-05	33476.8	-32843.1	50753	
7000	0.523464	-0.819121	1.07841	0.00178637	-0.000681912	4.68479e-05	86275.4	221609	-144639	
7029	0.522332	-0.821821	1.08079	0.00183296	-0.000562243	-3.1257e-05	-55639	-132734	117138	
7060	0.522332	-0.821821	1.08079	0.00175117	-0.000757363	0.000140935	-55639	-132734	117138	
7120	0.521895	-0.822293	1.07428	0.000948362	0.0018395	1.7877e-10	-190879	-192405	-134604	
7149	0.521399	-0.823726	1.07486	0.000919731	0.00181064	-2.01904e-05	-25265.5	-73113.2	29645.5	
